,parameter,fraction,units,method_speciation,num_decimal_places,class,class_type,trout_class,spatial_extent,sampling_period,sampling_period_units,strata,type,use,water_type,pollutant,standard_type,narrative,wqs_threshold,statistic,min_n,block,direction,threshold,threshold_units,summarize_rows,summarize_rows_operator,num_rows_to_summarize,aggregate_parameter,wqs_75p_threshold_formula,wqs_75p_threshold
81,ammonia,total,ug/l,as N,1,aa(t),fresh,trout,nys,January-December,month,none,aquatic_chronic,fishing,flow,TRUE,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,none,1,single,<=,NA,mg/l,FALSE,NA,1,NA,NA,NA
82,ammonia,total,ug/l,as N,1,aa(t),fresh,trout,great_lakes,January-December,month,none,aquatic_chronic,fishing,flow,TRUE,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,none,1,single,<=,NA,mg/l,FALSE,NA,1,NA,NA,NA
83,ammonia,total,ug/l,as N,1,aa-special(t),fresh,trout,nys,January-December,month,none,aquatic_chronic,fishing,flow,TRUE,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,none,1,single,<=,NA,mg/l,FALSE,NA,1,NA,NA,NA
84,ammonia,total,ug/l,as N,1,aa-special(t),fresh,trout,great_lakes,January-December,month,none,aquatic_chronic,fishing,flow,TRUE,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,none,1,single,<=,NA,mg/l,FALSE,NA,1,NA,NA,NA
85,ammonia,total,ug/l,as N,1,c(t),fresh,trout,nys,January-December,month,none,aquatic_chronic,fishing,pond,TRUE,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,none,1,single,<=,NA,mg/l,FALSE,NA,1,NA,NA,NA
86,ammonia,total,ug/l,as N,1,c(t),fresh,trout,great_lakes,January-December,month,none,aquatic_chronic,fishing,pond,TRUE,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,none,1,single,<=,NA,mg/l,FALSE,NA,1,NA,NA,NA
87,ammonia,total,ug/l,as N,1,b(t),fresh,trout,nys,January-December,month,none,aquatic_chronic,fishing,pond,TRUE,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,none,1,single,<=,NA,mg/l,FALSE,NA,1,NA,NA,NA
88,ammonia,total,ug/l,as N,1,b(t),fresh,trout,great_lakes,January-December,month,none,aquatic_chronic,fishing,pond,TRUE,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,none,1,single,<=,NA,mg/l,FALSE,NA,1,NA,NA,NA
89,ammonia,total,ug/l,as N,1,a(t),fresh,trout,nys,January-December,month,none,aquatic_chronic,fishing,pond,TRUE,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,none,1,single,<=,NA,mg/l,FALSE,NA,1,NA,NA,NA
90,ammonia,total,ug/l,as N,1,a(t),fresh,trout,great_lakes,January-December,month,none,aquatic_chronic,fishing,pond,TRUE,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,none,1,single,<=,NA,mg/l,FALSE,NA,1,NA,NA,NA
91,ammonia,total,ug/l,as N,1,a-special(t),fresh,trout,nys,January-December,month,none,aquatic_chronic,fishing,pond,TRUE,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,none,1,single,<=,NA,mg/l,FALSE,NA,1,NA,NA,NA
92,ammonia,total,ug/l,as N,1,a-special(t),fresh,trout,great_lakes,January-December,month,none,aquatic_chronic,fishing,pond,TRUE,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,none,1,single,<=,NA,mg/l,FALSE,NA,1,NA,NA,NA
93,ammonia,total,ug/l,as N,1,aa(t),fresh,trout,nys,January-December,month,none,aquatic_chronic,fishing,pond,TRUE,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,none,1,single,<=,NA,mg/l,FALSE,NA,1,NA,NA,NA
94,ammonia,total,ug/l,as N,1,aa(t),fresh,trout,great_lakes,January-December,month,none,aquatic_chronic,fishing,pond,TRUE,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,none,1,single,<=,NA,mg/l,FALSE,NA,1,NA,NA,NA
95,ammonia,total,ug/l,as N,1,aa-special(t),fresh,trout,nys,January-December,month,none,aquatic_chronic,fishing,pond,TRUE,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,none,1,single,<=,NA,mg/l,FALSE,NA,1,NA,NA,NA
96,ammonia,total,ug/l,as N,1,aa-special(t),fresh,trout,great_lakes,January-December,month,none,aquatic_chronic,fishing,pond,TRUE,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,none,1,single,<=,NA,mg/l,FALSE,NA,1,NA,NA,NA
